generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
65,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8597706511175899,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
66,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8558522837706511,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
67,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8558522837706511,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
68,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8511175898931002,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
69,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8471758989310011,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
70,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8403420796890185,"[271, 13, 303, 126]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 14, 3]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '303|g=__missing__|c=14', '126|g=__missing__|c=3']"
71,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8436073858114674,"[271, 12, 303, 163]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 14, 2]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '303|g=__missing__|c=14', '163|g=__missing__|c=2']"
72,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8436073858114674,"[271, 12, 303, 163]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 14, 2]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '303|g=__missing__|c=14', '163|g=__missing__|c=2']"
73,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8436073858114674,"[271, 12, 303, 163]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 14, 2]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '303|g=__missing__|c=14', '163|g=__missing__|c=2']"
74,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8436073858114674,"[271, 12, 303, 163]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 14, 2]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '303|g=__missing__|c=14', '163|g=__missing__|c=2']"
75,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8401865889212828,"[271, 12, 303, 163]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 14, 2]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '303|g=__missing__|c=14', '163|g=__missing__|c=2']"
76,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8385150631681245,"[271, 12, 303, 163]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 14, 2]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '303|g=__missing__|c=14', '163|g=__missing__|c=2']"
77,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8363381924198253,"[271, 12, 303, 163]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 14, 2]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '303|g=__missing__|c=14', '163|g=__missing__|c=2']"
78,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8345889212827988,"[271, 12, 303, 163]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 14, 2]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '303|g=__missing__|c=14', '163|g=__missing__|c=2']"
79,0.5,0.5,7.666666666666667,0.015333333333333334,1.0,0.0,0.8260602526724976,"[271, 12, 303, 163]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 14, 2]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '303|g=__missing__|c=14', '163|g=__missing__|c=2']"
