generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
62,0.5,0.442419953500679,4.8,0.0096,1.0,0.0,0.7813022351797863,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
63,0.5,0.4435737996545251,4.8,0.0096,1.0,0.0,0.7928707482993199,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
64,0.5,0.4447276458083712,4.8,0.0096,1.0,0.0,0.8030398445092323,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
65,0.5,0.4447276458083712,4.8,0.0096,1.0,0.0,0.8030398445092323,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
66,0.5,0.4447276458083712,4.8,0.0096,1.0,0.0,0.8030398445092323,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
67,0.5,0.4447276458083712,4.8,0.0096,1.0,0.0,0.8030398445092323,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
68,0.5,0.4447276458083712,4.8,0.0096,1.0,0.0,0.8030398445092323,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
69,0.5,0.4447276458083712,4.8,0.0096,1.0,0.0,0.8030398445092323,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
70,0.5,0.4459806008911136,4.8,0.0096,1.0,0.0,0.7984528668610302,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
71,0.5,0.4459806008911136,4.8,0.0096,1.0,0.0,0.7984528668610302,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
72,0.5,0.4474780595723968,4.8,0.0096,1.0,0.0,0.7995257531584062,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
73,0.5,0.4474780595723968,4.8,0.0096,1.0,0.0,0.7995257531584062,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
74,0.5,0.4477087924329169,4.8,0.0096,1.0,0.0,0.8007308066083577,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
75,0.5,0.4477087924329169,4.8,0.0096,1.0,0.0,0.8007308066083577,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
76,0.5,0.4477087924329169,4.8,0.0096,1.0,0.0,0.8007308066083577,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
77,0.5,0.44801139290573005,4.8,0.0096,1.0,0.0,0.7994480077745384,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
78,0.5,0.4483675182618555,4.8,0.0096,1.0,0.0,0.7974266277939748,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
79,0.5,0.4483675182618555,4.8,0.0096,1.0,0.0,0.7974266277939748,"[9, 178, 235, 417]","['1', '1', '1', '0']","[1, 2, 0, 6]","{'1': 3, '0': 1, '2': 0}","['9|g=1|c=1', '178|g=1|c=2', '235|g=1|c=0', '417|g=0|c=6']"
