generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
41,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.39636151603498554,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
42,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.38396112730806614,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
43,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.38396112730806614,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
44,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.38396112730806614,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
45,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.38396112730806614,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
46,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.3592069970845482,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
47,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.31414577259475224,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
48,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.31414577259475224,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
49,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.31414577259475224,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
50,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.31414577259475224,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
51,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.298153547133139,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
52,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.298153547133139,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
53,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.298153547133139,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
